Symbol	Description
BTWZ.SI	Hyflux S$500m6%perpcapsec
BTX.SI	Anchun International Hldgs Ltd
BTY.SI	Full Apex (holdings) Limited
BUOU.SI	Frasers Logistics & Ind Trust
BUPW.SI	Soilbuild Construction W210715
BVA.SI	Top Glove Corporation Bhd
BVP.SI	Aims Property Securities Fund
BVQ.SI	Procurri Corporation Limited
BWCU.SI	Ec World Reit
BWM.SI	China Jinjiang Env Hldg Co Ltd
BXE.SI	Cdw Holding Limited
BYI.SI	Phillip Sgx Apac Div Reit Etf
BYJ.SI	Phillip Sgx Apacdiv Reit Etfs$
BZKS.SI	N517100f 220401
C04.SI	Casa Holdings Limited
C05.SI	Chemical Industries (f.e.) Ltd
C06.SI	Csc Holdings Ltd
C07.SI	Jardine Cycle & Carriage Ltd
C09.SI	City Developments Limited
C13.SI	Ch Offshore Ltd
c29.SI	Chip Eng Seng Corporation Ltd
C2PU.SI	Parkwaylife Reit
C31.SI	Capitaland Limited
C33.SI	Chuan Hup Holdings Limited
C38U.SI	Capitamall Trust
C41.SI	Cortina Holdings Limited
C50.SI	Cheung Woh Technologies Ltd
C52.SI	Comfortdelgro Corporation Ltd
C6L.SI	Singapore Airlines Ltd
C70.SI	City Developments Ltd Nccps
C71.SI	China Paper Holdings Limited
C76.SI	Creative Technology Ltd
C8R.SI	Jiutian Chemical Group Limited
C92.SI	China Haida Ltd.
C9Q.SI	Sinostar Pec Holdings Limited
CC3.SI	Starhub Ltd
CDVZ.SI	Krisenergy S$139.464mz240131
CDXW.SI	Krisenergy Ltd. W240131
CEDU.SI	Dasin Retail Trust
CFA.SI	Nikkoam-stc Asia_xj Reit Etf
CFN.SI	Onestoxxasean Fund
CGN.SI	Best World International Ltd
CGOW.SI	Ta Corporation Ltd W220520
CGP.SI	Noble Group Limited
CHBW.SI	Duty Free Internationalw220513
CHJ.SI	Uni-asia Group Limited
CHZ.SI	Hrnetgroup Limited
CIN.SI	Courage Marine Group Limited
CJLU.SI	Netlink Nbn Trust
CJN.SI	British & Malayan Hldg Limited
CLN.SI	Apac Realty Limited
CLR.SI	Lion-phillip S-reit Etf
CMGS.SI	Nx18100a 280501
CMHS.SI	N518100e 230201
CMOU.SI	Keppel-kbs Us Reit
CNE.SI	Mindchamps Preschool Limited
CNNU.SI	Cromwell European Reit
COI.SI	Nikkoam-stc Asia_xj Reit Us$
CPRW.SI	Dlc Socgen7xlonghsi 210114
CPSW.SI	Dlc Socgen7xshorthsi 210114
CPTW.SI	Dlc Socgen7xlonghsc 210114
CPUW.SI	Dlc Socgen7xshorthsc 210114
CPVW.SI	Dlc Socgen7xlongmsg 210114
CPWW.SI	Dlc Socgen7xshortmsg 210114
CQLW.SI	Marco Polo Marine Ltd. W230129
CRJW.SI	F J Benjamin W210405
CRPU.SI	Sasseur Reit
CRWW.SI	Mtq Corporation Limitedw230417
CSFU.SI	Cromwell European Reit S$
CTO.SI	Hong Lai Huat Group Limited
CTPW.SI	Aei Corporation Ltd W210527
CUKW.SI	Dlc Sg5xshorthsc230420
CVPW.SI	Dlc Sg5xlongmsg230420
CWAW.SI	Dlc Sg5xlonghsi230420
CXAW.SI	Sti 2650mbecw201231
CXQW.SI	Dlc Sg5xshorthsi230420
CY6U.SI	Ascendas India Trust
CYB.SI	Icbc Csop Cgb Etf Us$d
CYC.SI	Icbc Csop Cgb Etf S$
CYTW.SI	Dlc Sg5xshortmsg230420
CYW.SI	Tricklestar
CZ4.SI	Dutech Holdings Limited
CZAW.SI	Dlc Sg7xlongmsg230404
CZBW.SI	Dlc Sg7xshorthsi230920
CZPW.SI	Dlc Sg5xlonghsc230420
CZSW.SI	Dlc Sg7xshortmsg230712
D00W.SI	Dlc Sg5xlongpetchina B
D01.SI	Dairy Farm Int'l Holdings Ltd
D03.SI	Del Monte Pacific Limited
D05.SI	Dbs Group Holdings Ltd
D07.SI	Spdr Djia Etf Trust
D11.SI	Design Studio Furniture Mfrltd
D50.SI	China Great Land Holdings Ltd.
D5IU.SI	Lippo Malls Indo Retail Trust
D8DU.SI	First Ship Lease Trust
DAAW.SI	Dlc Socgen5xshort Aia
DABW.SI	Dlc Socgen5xshort Venture A
DAEW.SI	Dlc Sg5xshortsunny A
DAFW.SI	Dlc Sg5xlongaac A
