Symbol	Description
CKI.DB.TO	Clarke Inc 6.25 Pct Debs
CLF.TO	Ishares 1-5 Yr Ladder Govt Bond ETF
CLG.TO	Ishares 1-10 Yr Ladder Govt Bond ETF
CLIQ.TO	Alcanna Inc
CLIQ.DB.TO	Alcanna Inc 4.70 Pct Debs
CLR.TO	Clearwater Seafoods Incorporated
CLS.TO	Celestica Inc Sv
CM.TO	Canadian Imperial Bank of Commerce
CM.PR.O.TO	CIBC Pref Ser 39
CM.PR.P.TO	CIBC Pref Ser 41
CM.PR.Q.TO	CIBC Pref Ser 43
CM.PR.R.TO	CIBC Pref Ser 45
CM.PR.S.TO	CIBC Pref Series 47
CM.PR.T.TO	CIBC Pref Series 49
CM.PR.Y.TO	CIBC Pref Series 51
CMAG.TO	CI Munro Alt Global Growth ETF
CMAR.TO	CI Marret Alt Absolute Return Bnd ETF
CMAR.U.TO	CI Marret Alt Absolute Rtrn Bnd ETF USD
CMCE.TO	CIBC Multifactor Canadian Equity ETF
CMEY.TO	CI Marret Alternative Enhanced Yield ETF
CMG.TO	Computer Modelling Group Ltd
CMMC.TO	Copper Mountain Mining Corp
CMR.TO	Ishares Premium Money Market ETF
CMUE.TO	CIBC Multifactor US Equity ETF
CMUE.F.TO	CIBC Multifactor US Equity ETF Hedged
CNE.TO	Canacol Energy Ltd
CNQ.TO	CDN Natural Res
CNR.TO	Canadian National Railway Co.
CNT.TO	Century Global Commodities Corp
CNU.TO	Cnooc Limited
COG.TO	Condor Gold Plc
COMM.TO	BMO Global Communications Index ETF
CORP.TO	Exemplar Investment Grade Fund
COW.TO	Ishares Global Agri Index ETF
CP.TO	Canadian Pacific Railway Limited
CPD.TO	Ishares S&P TSX CDN Pref ETF
CPG.TO	Crescent Point Energy Corp
CPH.TO	Cipher Pharmaceuticals Inc
CPI.TO	Condor Petroleum Inc
CPLS.TO	CIBC Core Plus Fixed Income Pool ETF
CPX.TO	Capital Power Corp
CPX.PR.A.TO	Capital Power Corporation Pref Ser 1
CPX.PR.C.TO	Capital Power Corp Pref Ser 3
CPX.PR.E.TO	Capital Power Corporation Pref Ser 5
CPX.PR.G.TO	Capital Power Corporation Pref Ser 7
CPX.PR.I.TO	Capital Power Corporation Pref Ser 9
CPX.PR.K.TO	Capital Power Corporation Pref Series 11
CR.TO	Crew Energy Inc
CRDL.TO	Cardiol Therapeutics Inc
CRDL.WT.TO	Cardiol Therapeutics Inc WT
CRED.TO	CI Lawrence Park Alt Invest Grd Crdt ETF
CRED.U.TO	CI Lawrence Park Alt Inv Grd Crt ETF USD
CRH.TO	CRH Medical Corp
CRON.TO	Cronos Group Inc
CRP.TO	Ceres Global Ag Corp
CRR.UN.TO	Crombie Real Estate Investment Trust
CRRX.TO	Carerx Corporation
CRT.UN.TO	CT Real Estate Investment Trust
CRWN.TO	Crown Capital Partners Inc
CRWN.DB.TO	Crown Capital Partners Inc 6.0 Pct Debs
CS.TO	Capstone Mining Corp
CSAV.TO	CI First Asset High Interest Savings ETF
CSD.TO	Ishares Short Dur HI Inc ETF CAD Hgd
CSE.PR.A.TO	Capstone Infrastructure Corp Pref A
CSH.UN.TO	Chartwell Retirement Residences
CSM.TO	Clearstream Energy Services Inc
CSU.TO	Constellation Software Inc
CSU.DB.TO	Constellation Software Inc Debs Ser 1
CSW.A.TO	Corby Spirit and Wine Ltd Class A
CSW.B.TO	Corby Spirit and Wine Ltd Class B
CSY.TO	CI First Asset Core Can Equity Inc Class ETF
CTC.TO	Canadian Tire Corporation Limited
CTC.A.TO	Canadian Tire Corporation Cl A NV
CTF.UN.TO	Citadel Income Fund
CTX.TO	Crescita Therapeutics Inc
CU.TO	Canadian Utilities Ltd Cl.A NV
CU.PR.C.TO	Canadian Utilities Limited Pref Ser C
CU.PR.D.TO	Canadian Utilities Ltd Pr Series Aa
CU.PR.E.TO	Canadian Utilities Ltd Pref Ser Bb
CU.PR.F.TO	Canadian Utilities Ltd Pref Ser CC
CU.PR.G.TO	Canadian Utilities Ltd Pref Ser Dd
CU.PR.H.TO	Canadian Utilities Ltd Pref Ser Ee
CU.PR.I.TO	Canadian Utilities Ltd Pref Ser Ff
CU.X.TO	CDN Util Cl B
CUD.TO	Ishares S&P US Div Growers ETF
CUF.UN.TO	Cominar R E Un
CUP.U.TO	Caribbean Util US
CVD.TO	Ishares Convertible Bond Index ETF
CVE.TO	Cenovus Energy Inc
CVG.TO	Clairvest Group
CWB.TO	CDN Western Bank
CWB.PR.B.TO	Canadian Western Bank Pref Ser 5
CWB.PR.C.TO	Canadian Western Bank Pref Ser 7
CWB.PR.D.TO	Canadian Western Bank Pref Series 9
CWEB.TO	Charlotte's Web Holdings Inc
CWEB.WR.TO	Charlottes Web Holdings Inc Wr
CWEB.WS.TO	Charlottes Web Holdings Inc Ws
