Symbol	Description
IVF.H.V	Invictus Financial Inc
IVI.V	Ivrnet Inc
IVS.V	Inventus Mining Corp
IVX.V	Inventronics Limited
IXI.V	Indigo Exploration Inc
IZ.V	International Zeolite Corp
IZN.V	Inzinc Mining Ltd
IZZ.V	International Prospect Ventures Ltd
JAB.P.V	Jabbo Capital Corp
JADE.V	Jade Leader Corp
JAEG.V	Jaeger Resources Corp
JAX.V	Jaxon Mining Inc
JCO.V	Jericho Oil Corp
JDN.V	Jayden Resources Inc
JEC.V	Jura Energy Corp
JET.V	Canada Jetlines Ltd
JFC.H.V	Jaguar Financial Corporation
JG.V	Japan Gold Corp
JJ.V	Jackpot Digital Inc
JJ.RT.V	Jackpot Digital Inc.
JJ.WT.A.V	Jackpot Digital Inc Wts A
JJ.WT.B.V	Jackpot Digital Inc Wts B
