Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
BOID,BANK IDAHO HLDG CO,OTCQX U.S.,19.300000,0.259700,187,Common Stock,USA,Idaho
BELP,BELPOINTE REIT INC,OTCQX U.S.,100.050000,-0.940600,4858,Common Stock,USA,Connecticut
INBC,INBANKSHARES CORPORATION,OTCQX U.S.,7.950000,2.580600,3200,Common Stock,USA,Colorado
DCSX,DIRECT COMM SOLUTIONS,OTCQX U.S.,1.385900,11.766100,100,Foreign Ordinary Shares,USA,California
BCHG,GRAYSCALE BITCOIN CASH TR,OTCQX U.S.,56.300000,22.417900,175442,Common Stock,USA,New York
BITW,BITWISE 10 CRYPTO IDX UT,OTCQX U.S.,93.000000,-33.098300,1216495,Units,USA,California
LTCN,GRAYSCALE LITECOIN TR LTC,OTCQX U.S.,330.000000,24.528300,15618,Common Stock,USA,New York
BBXIA,BBX CAPITAL INC A,OTCQX U.S.,4.450000,0.000000,14531,Common Stock,USA,Florida
LGCP,LEGION CAP CORP,OTCQX U.S.,6.000000,,0,Common Stock,USA,Florida
AWCMF,ALUMINA LTD,OTCQX International Premier,1.370000,,0,Foreign Ordinary Shares,Australia,Victoria
AWCMY,ALUMINA LTD S/ADR,OTCQX International Premier,5.560000,-0.179500,33980,ADRs,Australia,Victoria
FSUGY,FORTESCUE METAL GRP S/ADR,OTCQX International Premier,34.533500,3.642000,31772,ADRs,Australia,Western Australia
FSUMF,FORTESCUE METAL GROUP LTD,OTCQX International Premier,17.140000,2.206300,3170,Foreign Ordinary Shares,Australia,Western Australia
PBTHF,POINTSBET HOLDINGS LTD,OTCQX International Premier,9.105000,3.819800,1424,Foreign Ordinary Shares,Australia,Victoria
SOLVY,SOLVAY SA SPNS/ADR,OTCQX International Premier,12.003000,0.527600,1225,ADRs,Belgium,
SVYSF,SOLVAY SA ACT,OTCQX International Premier,106.392151,,0,Foreign Ordinary Shares,Belgium,
LZRFY,LOCALIZA RENT A CAR S/ADR,OTCQX International Premier,14.120000,4.592600,40532,ADRs,Brazil,
JBSAY,JBS S A S/ADR,OTCQX International Premier,9.150000,0.000000,25447,ADRs,Brazil,
COGNY,COGNA EDUCACAO S A S/ADR,OTCQX International Premier,0.915000,0.549500,6733,ADRs,Brazil,
BDRAF,BOMBARDIER INC A,OTCQX International Premier,0.597712,1.135700,36534,Foreign Ordinary Shares,Canada,Quebec
BDRBF,BOMBARDIER INC B,OTCQX International Premier,0.381000,4.037500,889897,Foreign Ordinary Shares,Canada,Quebec
ACDVF,AIR CANADA INC VTG & VAR,OTCQX International Premier,18.579100,-0.058600,191127,Foreign Ordinary Shares,Canada,Quebec
ARESF,ARTIS RL EST I/T TR UT,OTCQX International Premier,8.521000,-0.571800,2260,Units,Canada,Manitoba
IVPAF,IVANHOE MINES LTD A,OTCQX International Premier,4.900000,1.659800,158057,Foreign Ordinary Shares,Canada,British Columbia
YZCAY,YANZHOU COAL MNG CO S/ADR,OTCQX International Premier,8.080000,-0.553800,1773,ADRs,China,
SIUIF,SEMICONDUCTOR MFG NEW,OTCQX International Premier,2.690000,3.861000,15250,Foreign Ordinary Shares,China,
SMICY,SEMICONDUCTOR MFG INT ADR,OTCQX International Premier,13.340000,4.056200,218541,ADRs,China,
CIBEY,COMML INTL BK S/ADR,OTCQX International Premier,3.810000,-1.804100,62600,ADRs,Egypt,
CMGGF,COMML INTL BK LTD S/GDR,OTCQX International Premier,3.800000,,0,New York Registry Shs,Egypt,
DANOY,DANONE S/ADR,OTCQX International Premier,13.140000,0.228800,514277,ADRs,France,
GPDNF,GROUPE DANONE,OTCQX International Premier,65.500000,-1.622100,2427,Foreign Ordinary Shares,France,
AXAHF,AXA SA ORD,OTCQX International Premier,24.490000,,0,Foreign Ordinary Shares,France,
AXAHY,AXA S/ADR,OTCQX International Premier,24.590000,-0.100800,93589,ADRs,France,
BNPQF,BNP PARIBAS ORD,OTCQX International Premier,53.879200,0.596000,1162,Foreign Ordinary Shares,France,
BNPQY,BNP PARIBAS SPONS ADR,OTCQX International Premier,26.940000,0.000000,237472,ADRs,France,
PGPEF,PUBLICIS GROUPE ACT,OTCQX International Premier,51.450300,5.625700,1952,Foreign Ordinary Shares,France,
PUBGY,PUBLICIS GROUP SA S/ADR,OTCQX International Premier,12.780000,1.832700,58828,ADRs,France,
BASFY,BASF SE S/ADR,OTCQX International Premier,19.860000,1.533700,99077,ADRs,Germany,
BFFAF,BASF SE ORD,OTCQX International Premier,79.560000,1.771700,199,Foreign Ordinary Shares,Germany,
DTEGF,DEUTSCHE TELEKOM AG REG,OTCQX International Premier,18.435000,0.710200,14579,Foreign Ordinary Shares,Germany,
DTEGY,DEUTSCHE TELEKOM AG S/ADR,OTCQX International Premier,18.440000,0.765000,69018,ADRs,Germany,
